route,stop_distance_km,day_of_week,time_of_day,traffic_condition,weather,special_event,temperature_celsius,delay_minutes,arrival_status
Grove Village Route,3.27,Monday,13.1,High,Cloudy,None,34.6,9.6,Late
Grove Village Route,5.67,Friday,18.4,High,Foggy,None,27.8,16.7,Late
Al Hamra Link,6.15,Thursday,16.4,Medium,Dusty,Career Fair,33.8,15.7,Late
Campus Loop,1.88,Sunday,18.5,Medium,Cloudy,None,37.8,10.7,Late
Campus Loop,0.76,Tuesday,15.7,Low,Cloudy,Sports Match,28.6,8.3,Late
Al Hamra Link,9.47,Sunday,16.7,Medium,Clear,University Exam,34.8,13.8,Late
Al Hamra Link,4.63,Monday,12.6,Medium,Clear,None,26.6,8.8,Late
RAK City Express,5.96,Friday,8.5,High,Clear,None,37.2,10.7,Late
Al Hamra Link,4.19,Saturday,13.2,Medium,Clear,None,37.4,7.6,Late
RAK City Express,7.42,Wednesday,10.3,Medium,Clear,None,35.4,9.4,Late
Al Hamra Link,5.14,Thursday,8.4,High,Dusty,None,38.5,21.2,Late
Grove Village Route,2.42,Saturday,11.3,Low,Clear,None,34.1,3.1,On-Time
Al Hamra Link,6.61,Sunday,13.8,Medium,Cloudy,None,41.3,5.7,Late
Campus Loop,3.7,Thursday,13.9,Medium,Dusty,None,41.2,11.6,Late
RAK City Express,13.26,Wednesday,11.3,Medium,Clear,None,24.5,5.9,Late
RAK City Express,9.08,Wednesday,11.6,Low,Clear,University Exam,36.6,13.8,Late
RAK City Express,13.68,Saturday,9.4,High,Clear,None,28.1,16.4,Late
Campus Loop,1.44,Thursday,22.0,Low,Foggy,None,26.2,8.0,Late
Grove Village Route,4.22,Monday,21.4,Low,Clear,None,26.1,2.0,On-Time
RAK City Express,10.49,Saturday,21.0,Low,Cloudy,Career Fair,32.3,14.1,Late
RAK City Express,12.59,Sunday,19.7,Medium,Cloudy,Career Fair,32.4,14.5,Late
RAK City Express,10.78,Thursday,21.7,Low,Cloudy,None,29.6,3.9,On-Time
RAK City Express,8.46,Thursday,7.3,Medium,Clear,None,30.2,6.0,Late
RAK City Express,6.81,Saturday,14.8,Medium,Clear,None,41.7,7.8,Late
Grove Village Route,3.35,Sunday,8.7,High,Clear,None,35.6,17.8,Late
Grove Village Route,3.49,Sunday,21.6,Low,Clear,None,37.6,4.7,On-Time
Al Hamra Link,7.38,Friday,7.3,Low,Clear,None,32.4,3.8,On-Time
Campus Loop,0.77,Wednesday,20.0,Medium,Clear,None,34.6,1.8,On-Time
Al Hamra Link,6.98,Tuesday,10.5,Medium,Clear,None,37.0,8.9,Late
Al Hamra Link,9.97,Saturday,14.2,Low,Cloudy,None,25.4,3.0,On-Time
Al Hamra Link,8.49,Thursday,11.7,Medium,Clear,None,31.2,8.9,Late
RAK City Express,5.8,Tuesday,18.1,High,Clear,None,31.0,14.3,Late
Al Hamra Link,4.71,Friday,19.6,Medium,Clear,None,32.9,5.2,Late
Grove Village Route,5.0,Monday,19.8,Medium,Clear,None,32.1,3.9,On-Time
Campus Loop,3.68,Wednesday,15.2,Medium,Clear,None,31.6,2.4,On-Time
Al Hamra Link,5.02,Saturday,17.1,High,Clear,None,25.0,17.1,Late
Campus Loop,3.85,Wednesday,11.0,Medium,Clear,None,34.8,2.2,On-Time
Campus Loop,0.55,Sunday,8.7,High,Clear,None,30.0,19.7,Late
Grove Village Route,3.19,Saturday,18.6,High,Clear,None,37.4,10.4,Late
Grove Village Route,6.65,Sunday,18.0,High,Foggy,None,38.8,28.0,Late
Grove Village Route,2.18,Friday,18.5,High,Clear,Open Day,27.2,17.5,Late
Campus Loop,3.38,Thursday,19.8,Medium,Clear,None,34.9,5.9,Late
Grove Village Route,3.94,Tuesday,9.6,High,Cloudy,None,33.9,15.7,Late
Grove Village Route,4.32,Thursday,15.4,Low,Clear,None,35.3,4.3,On-Time
Al Hamra Link,9.33,Friday,8.5,High,Cloudy,None,28.1,15.6,Late
Al Hamra Link,5.09,Tuesday,9.1,High,Cloudy,None,41.9,17.8,Late
Grove Village Route,5.26,Tuesday,20.9,Low,Cloudy,Open Day,31.1,12.6,Late
Al Hamra Link,6.68,Tuesday,12.9,Medium,Dusty,None,38.7,11.9,Late
Grove Village Route,6.21,Friday,21.4,Low,Dusty,None,33.1,7.1,Late
Grove Village Route,4.76,Wednesday,16.3,Medium,Dusty,None,37.9,10.3,Late
Campus Loop,3.87,Tuesday,14.2,Low,Cloudy,Open Day,32.2,10.5,Late
Grove Village Route,2.58,Wednesday,21.1,Low,Rainy,None,36.1,8.8,Late
RAK City Express,5.01,Wednesday,19.4,Medium,Clear,None,25.8,9.3,Late
Al Hamra Link,5.26,Friday,18.4,High,Clear,None,28.9,17.5,Late
Grove Village Route,6.56,Sunday,13.3,Medium,Cloudy,None,27.8,7.1,Late
Campus Loop,3.37,Tuesday,12.0,High,Clear,None,24.3,7.9,Late
Grove Village Route,5.08,Saturday,17.7,High,Clear,University Exam,34.9,15.6,Late
RAK City Express,14.71,Thursday,8.5,High,Clear,None,28.8,13.2,Late
RAK City Express,11.65,Wednesday,7.6,Medium,Clear,None,33.0,8.1,Late
Al Hamra Link,6.28,Saturday,12.3,Medium,Clear,None,35.8,6.0,Late
RAK City Express,12.97,Wednesday,16.1,Low,Cloudy,None,28.7,4.8,On-Time
Al Hamra Link,9.63,Tuesday,17.3,Medium,Dusty,Sports Match,26.9,24.8,Late
RAK City Express,14.11,Monday,17.4,High,Cloudy,None,33.5,16.7,Late
RAK City Express,9.03,Tuesday,9.0,High,Dusty,None,40.4,25.3,Late
Al Hamra Link,8.47,Saturday,21.2,Low,Clear,None,35.1,4.0,On-Time
Al Hamra Link,4.85,Thursday,11.2,Medium,Cloudy,None,38.6,6.0,Late
Al Hamra Link,5.87,Monday,17.7,High,Dusty,None,39.3,20.8,Late
Campus Loop,2.17,Tuesday,9.6,High,Clear,None,29.0,15.9,Late
Al Hamra Link,4.87,Saturday,16.4,Medium,Cloudy,None,38.7,4.4,On-Time
Al Hamra Link,5.73,Sunday,8.6,High,Dusty,None,24.2,17.0,Late
Al Hamra Link,8.74,Tuesday,19.9,Medium,Clear,None,33.6,7.0,Late
Campus Loop,3.75,Sunday,14.2,Low,Clear,None,28.5,1.1,On-Time
RAK City Express,13.98,Friday,18.2,High,Clear,University Exam,25.7,26.1,Late
Grove Village Route,6.46,Saturday,7.1,Low,Clear,None,37.5,4.8,On-Time
Grove Village Route,6.35,Saturday,8.0,High,Clear,None,34.1,17.9,Late
Grove Village Route,4.41,Tuesday,22.0,Low,Rainy,None,31.5,13.9,Late
Al Hamra Link,8.93,Tuesday,20.3,Low,Clear,None,33.2,4.8,On-Time
Campus Loop,0.71,Sunday,18.1,Medium,Clear,None,39.7,6.9,Late
Campus Loop,0.81,Saturday,11.6,Medium,Clear,None,40.7,4.0,On-Time
Campus Loop,1.96,Friday,20.1,Low,Cloudy,None,26.1,1.2,On-Time
Grove Village Route,6.92,Sunday,12.1,Medium,Clear,None,25.1,5.0,On-Time
Grove Village Route,6.25,Wednesday,21.3,Low,Clear,None,24.9,4.6,On-Time
RAK City Express,9.72,Thursday,14.5,Low,Cloudy,None,29.4,4.9,On-Time
Grove Village Route,3.22,Sunday,10.1,Medium,Clear,None,24.2,7.2,Late
RAK City Express,5.44,Monday,12.1,Medium,Cloudy,University Exam,34.3,9.8,Late
Al Hamra Link,6.85,Monday,10.1,Medium,Dusty,None,38.7,15.2,Late
Campus Loop,1.93,Wednesday,16.8,Low,Clear,None,38.7,3.5,On-Time
Campus Loop,1.68,Sunday,14.6,Medium,Clear,None,37.2,8.0,Late
Al Hamra Link,8.47,Tuesday,19.0,Medium,Dusty,Open Day,25.4,19.3,Late
Campus Loop,0.96,Tuesday,21.2,Low,Rainy,None,40.3,13.6,Late
RAK City Express,12.03,Friday,15.0,Low,Dusty,None,41.7,9.6,Late
Campus Loop,3.42,Sunday,8.8,High,Clear,None,25.3,13.5,Late
Al Hamra Link,4.44,Friday,11.0,Low,Cloudy,None,33.0,2.5,On-Time
Grove Village Route,5.47,Wednesday,7.3,Medium,Rainy,None,41.3,16.1,Late
RAK City Express,14.85,Tuesday,17.1,Medium,Clear,None,30.3,9.3,Late
Grove Village Route,3.81,Sunday,19.5,Medium,Cloudy,None,41.6,9.2,Late
RAK City Express,10.39,Saturday,16.8,Low,Clear,University Exam,29.6,10.7,Late
Grove Village Route,3.76,Sunday,21.6,Low,Cloudy,None,35.3,4.8,On-Time
Al Hamra Link,8.41,Wednesday,19.3,Medium,Rainy,None,27.3,16.5,Late
Grove Village Route,3.04,Thursday,12.1,High,Cloudy,None,31.9,13.8,Late
Al Hamra Link,4.56,Monday,16.8,Medium,Clear,Career Fair,36.5,16.3,Late
RAK City Express,13.95,Saturday,18.9,High,Clear,University Exam,29.8,23.7,Late
Campus Loop,0.87,Tuesday,20.5,Low,Rainy,None,41.7,9.7,Late
RAK City Express,8.58,Thursday,21.4,Low,Clear,None,24.4,4.3,On-Time
Al Hamra Link,4.28,Saturday,14.8,Medium,Foggy,None,37.3,11.4,Late
Al Hamra Link,9.23,Thursday,15.4,Medium,Cloudy,None,40.3,7.4,Late
RAK City Express,13.08,Wednesday,20.3,Low,Foggy,None,25.0,11.2,Late
Grove Village Route,6.96,Monday,14.9,Medium,Clear,None,30.5,7.1,Late
Al Hamra Link,9.04,Saturday,15.2,Low,Clear,None,28.9,2.7,On-Time
Al Hamra Link,8.03,Friday,20.1,Medium,Cloudy,None,41.0,5.7,Late
Grove Village Route,2.83,Wednesday,20.8,Low,Clear,None,29.2,1.2,On-Time
Grove Village Route,3.15,Monday,13.0,Low,Cloudy,None,28.6,3.8,On-Time
RAK City Express,5.56,Saturday,11.7,Low,Dusty,None,35.4,10.8,Late
Grove Village Route,3.63,Friday,13.6,Low,Dusty,None,32.1,8.7,Late
Grove Village Route,4.34,Sunday,11.9,Low,Clear,Sports Match,37.7,9.6,Late
Campus Loop,2.54,Thursday,13.3,High,Clear,Sports Match,27.0,20.2,Late
RAK City Express,5.15,Friday,18.1,High,Clear,None,28.0,15.3,Late
Al Hamra Link,5.95,Wednesday,21.8,Medium,Clear,None,32.5,7.8,Late
Campus Loop,1.9,Sunday,12.8,Medium,Dusty,Sports Match,32.4,19.7,Late
Grove Village Route,6.39,Wednesday,9.6,Medium,Cloudy,None,26.6,7.1,Late
Campus Loop,3.79,Wednesday,19.8,Medium,Foggy,None,25.3,14.2,Late
RAK City Express,8.1,Monday,10.1,Medium,Clear,None,26.5,5.7,Late
RAK City Express,8.47,Sunday,9.2,High,Clear,None,38.6,16.5,Late
Grove Village Route,6.35,Friday,16.3,Medium,Clear,None,31.8,7.8,Late
RAK City Express,14.94,Friday,14.4,Low,Clear,None,30.5,6.4,Late
RAK City Express,11.19,Wednesday,19.9,Medium,Clear,None,35.3,9.3,Late
Al Hamra Link,5.75,Saturday,17.5,Medium,Dusty,None,24.2,13.4,Late
Grove Village Route,3.55,Wednesday,18.1,Medium,Foggy,None,36.4,21.1,Late
Campus Loop,2.54,Friday,8.5,High,Clear,Career Fair,37.6,19.5,Late
Grove Village Route,6.4,Thursday,8.1,High,Clear,Sports Match,34.2,19.9,Late
Grove Village Route,6.67,Wednesday,19.4,Low,Clear,None,30.9,2.6,On-Time
Campus Loop,3.64,Saturday,15.1,Medium,Rainy,None,24.9,18.7,Late
Campus Loop,3.01,Wednesday,11.0,Medium,Clear,None,35.6,6.7,Late
Campus Loop,3.89,Saturday,16.4,Medium,Foggy,Career Fair,37.3,23.8,Late
Al Hamra Link,6.86,Thursday,8.0,High,Clear,None,27.2,18.2,Late
RAK City Express,7.6,Thursday,13.2,High,Clear,None,31.0,18.3,Late
RAK City Express,5.74,Friday,19.2,Low,Clear,None,29.5,2.8,On-Time
Campus Loop,3.79,Friday,14.2,Medium,Dusty,None,41.5,8.4,Late
Al Hamra Link,9.02,Thursday,22.0,Medium,Rainy,University Exam,41.8,20.7,Late
Grove Village Route,2.73,Saturday,15.5,Low,Clear,None,27.0,4.2,On-Time
Campus Loop,3.93,Wednesday,21.9,Low,Clear,None,38.4,3.0,On-Time
Grove Village Route,6.22,Thursday,9.1,High,Clear,None,30.9,11.1,Late
Grove Village Route,3.95,Saturday,10.1,Medium,Clear,None,32.6,5.5,Late
RAK City Express,10.66,Monday,7.0,Medium,Clear,None,30.3,8.4,Late
Grove Village Route,6.29,Friday,18.9,High,Clear,None,24.9,16.3,Late
Grove Village Route,5.16,Wednesday,10.7,Low,Clear,None,38.5,4.8,On-Time
Grove Village Route,2.64,Sunday,14.1,Medium,Clear,None,24.8,7.1,Late
Campus Loop,2.28,Tuesday,14.8,Low,Cloudy,None,25.4,4.4,On-Time
Grove Village Route,2.17,Wednesday,7.9,Medium,Clear,None,25.2,5.6,Late
RAK City Express,5.24,Saturday,7.6,Medium,Clear,None,25.8,8.5,Late
Grove Village Route,2.56,Monday,17.2,High,Clear,Career Fair,31.0,18.1,Late
Grove Village Route,4.11,Tuesday,7.4,Low,Cloudy,None,36.3,4.0,On-Time
Campus Loop,0.83,Sunday,8.8,High,Clear,None,32.2,15.6,Late
Al Hamra Link,6.64,Wednesday,19.8,Medium,Clear,None,30.7,5.4,Late
Grove Village Route,2.2,Thursday,19.5,Medium,Cloudy,University Exam,27.8,9.6,Late
Campus Loop,2.56,Thursday,16.5,Medium,Clear,None,33.6,7.2,Late
Campus Loop,1.9,Tuesday,16.3,Medium,Cloudy,University Exam,29.9,15.4,Late
Campus Loop,3.51,Saturday,11.1,Medium,Clear,None,27.8,4.4,On-Time
Campus Loop,3.39,Thursday,13.9,Medium,Clear,None,31.1,5.6,Late
RAK City Express,12.0,Thursday,13.1,High,Clear,None,33.1,12.2,Late
RAK City Express,11.6,Tuesday,21.7,Medium,Clear,None,32.7,7.7,Late
Grove Village Route,2.2,Sunday,18.9,High,Clear,None,38.0,19.7,Late
Al Hamra Link,5.04,Tuesday,21.1,Low,Clear,None,30.5,2.0,On-Time
Grove Village Route,3.04,Sunday,19.2,Medium,Cloudy,None,35.0,4.5,On-Time
Grove Village Route,6.4,Friday,15.8,Low,Rainy,None,33.0,6.9,Late
Grove Village Route,5.88,Tuesday,20.5,Low,Clear,None,29.4,5.0,On-Time
Campus Loop,3.81,Tuesday,8.9,High,Cloudy,None,24.6,14.9,Late
Grove Village Route,4.91,Friday,11.2,Medium,Clear,None,28.4,7.4,Late
RAK City Express,6.13,Tuesday,9.6,High,Clear,None,26.8,18.5,Late
Al Hamra Link,7.86,Friday,19.8,Medium,Clear,None,39.4,9.3,Late
RAK City Express,11.82,Sunday,17.7,High,Clear,None,41.2,15.5,Late
Grove Village Route,4.03,Wednesday,16.9,Medium,Clear,Sports Match,35.0,18.2,Late
RAK City Express,9.44,Tuesday,9.9,High,Clear,None,39.3,17.9,Late
Al Hamra Link,9.84,Sunday,18.6,Medium,Clear,University Exam,36.1,16.5,Late
Al Hamra Link,6.34,Saturday,8.4,Medium,Rainy,None,38.8,19.7,Late
RAK City Express,10.62,Friday,14.3,Medium,Clear,Sports Match,26.0,19.7,Late
RAK City Express,11.94,Monday,7.2,Low,Clear,None,31.7,5.5,Late
RAK City Express,9.08,Thursday,11.1,Medium,Clear,University Exam,33.4,15.7,Late
RAK City Express,5.82,Wednesday,13.4,High,Rainy,None,34.1,24.1,Late
Grove Village Route,3.69,Saturday,9.5,High,Foggy,None,33.2,24.8,Late
Campus Loop,3.34,Friday,7.3,Low,Clear,None,29.3,2.7,On-Time
Campus Loop,1.95,Saturday,13.3,Medium,Clear,None,40.1,6.0,Late
Al Hamra Link,4.15,Thursday,19.8,Medium,Clear,None,30.5,4.5,On-Time
Al Hamra Link,7.45,Tuesday,17.8,Medium,Clear,None,25.1,9.9,Late
Grove Village Route,4.15,Thursday,22.0,Low,Clear,None,34.7,4.5,On-Time
Campus Loop,3.11,Saturday,21.2,Low,Clear,None,40.3,1.0,On-Time
Al Hamra Link,5.51,Friday,11.6,Medium,Clear,None,29.9,7.9,Late
Al Hamra Link,5.02,Wednesday,10.8,Medium,Clear,University Exam,28.8,11.9,Late
Campus Loop,3.29,Tuesday,15.4,Medium,Clear,None,31.5,5.6,Late
Grove Village Route,4.31,Wednesday,12.0,Medium,Clear,Open Day,30.7,11.7,Late
RAK City Express,8.45,Wednesday,7.6,Medium,Clear,None,39.0,8.5,Late
Campus Loop,2.34,Sunday,16.6,Medium,Clear,None,31.7,6.4,Late
Grove Village Route,5.18,Friday,16.2,Medium,Clear,None,40.0,6.5,Late
RAK City Express,11.6,Monday,20.1,Low,Clear,None,28.9,5.6,Late
Campus Loop,3.44,Friday,17.4,High,Clear,None,34.1,12.1,Late
Al Hamra Link,6.09,Wednesday,7.3,Low,Clear,None,33.4,3.2,On-Time
RAK City Express,13.68,Thursday,10.2,Medium,Foggy,None,31.8,19.6,Late
Grove Village Route,3.04,Wednesday,15.9,Medium,Clear,None,30.4,5.1,Late
RAK City Express,7.07,Saturday,18.8,High,Clear,None,38.6,18.6,Late
Grove Village Route,5.23,Saturday,15.8,Low,Dusty,None,29.5,9.5,Late
RAK City Express,13.43,Sunday,7.8,Medium,Clear,None,29.7,7.2,Late
RAK City Express,8.71,Monday,11.6,Medium,Rainy,None,28.7,11.3,Late
Grove Village Route,4.25,Saturday,18.0,Medium,Clear,Open Day,29.9,8.7,Late
RAK City Express,9.24,Wednesday,18.7,High,Foggy,None,39.9,21.4,Late
Campus Loop,0.8,Tuesday,15.9,Medium,Clear,None,38.0,5.5,Late
Grove Village Route,4.59,Thursday,18.7,High,Clear,Sports Match,24.7,15.0,Late
Al Hamra Link,5.78,Sunday,13.2,Medium,Rainy,None,26.6,17.8,Late
Al Hamra Link,4.82,Saturday,16.3,Medium,Clear,None,26.5,9.2,Late
Campus Loop,1.33,Sunday,21.9,Low,Foggy,None,27.4,14.2,Late
Al Hamra Link,7.3,Thursday,14.0,Medium,Clear,Open Day,34.2,10.5,Late
Al Hamra Link,4.81,Wednesday,14.1,Low,Clear,None,33.4,4.3,On-Time
RAK City Express,6.82,Tuesday,18.0,High,Cloudy,None,39.4,17.4,Late
RAK City Express,5.09,Saturday,19.1,Medium,Clear,None,34.2,4.3,On-Time
Grove Village Route,6.95,Wednesday,15.0,Medium,Clear,University Exam,40.1,12.1,Late
Grove Village Route,2.66,Wednesday,16.3,Low,Cloudy,None,41.8,4.0,On-Time
Grove Village Route,5.98,Sunday,14.6,Medium,Dusty,None,38.2,11.1,Late
Grove Village Route,4.7,Wednesday,20.1,Medium,Clear,None,31.4,7.5,Late
Grove Village Route,2.49,Sunday,21.2,Low,Cloudy,None,30.9,3.8,On-Time
RAK City Express,6.95,Saturday,15.6,Low,Clear,None,31.2,4.6,On-Time
RAK City Express,11.12,Thursday,11.9,Medium,Clear,None,36.0,7.7,Late
Al Hamra Link,9.54,Monday,17.0,High,Clear,None,39.5,16.9,Late
Al Hamra Link,6.24,Wednesday,8.5,High,Dusty,None,28.4,13.0,Late
Grove Village Route,3.85,Monday,16.0,Low,Cloudy,None,38.8,1.2,On-Time
Al Hamra Link,5.92,Wednesday,13.5,Medium,Clear,None,26.1,4.7,On-Time
Al Hamra Link,8.1,Thursday,20.9,Low,Cloudy,None,33.1,5.9,Late
RAK City Express,9.85,Monday,18.1,High,Clear,None,40.9,13.3,Late
Campus Loop,1.93,Sunday,19.3,Medium,Clear,None,29.6,4.0,On-Time
Campus Loop,3.5,Thursday,11.9,Medium,Clear,None,24.9,7.5,Late
RAK City Express,11.92,Saturday,10.5,Medium,Clear,Career Fair,28.8,17.2,Late
Campus Loop,2.51,Sunday,17.3,High,Clear,None,35.4,9.1,Late
Campus Loop,2.63,Wednesday,14.3,Medium,Cloudy,None,31.9,5.2,Late
RAK City Express,10.41,Sunday,17.0,High,Cloudy,Career Fair,35.9,20.6,Late
RAK City Express,7.06,Saturday,14.8,Low,Clear,None,28.2,4.4,On-Time
Campus Loop,2.74,Monday,15.7,Medium,Clear,None,33.3,8.0,Late
Campus Loop,0.7,Monday,8.6,High,Clear,None,29.2,14.7,Late
Al Hamra Link,5.01,Wednesday,13.5,High,Clear,University Exam,40.2,18.4,Late
Al Hamra Link,4.07,Saturday,19.3,Medium,Clear,None,28.1,7.6,Late
Al Hamra Link,4.78,Saturday,20.9,Medium,Cloudy,None,31.7,8.3,Late
Al Hamra Link,8.42,Monday,21.3,Low,Clear,Career Fair,25.1,9.5,Late
Grove Village Route,2.59,Friday,20.7,Medium,Clear,None,39.0,7.0,Late
Campus Loop,1.99,Friday,14.6,Medium,Clear,Open Day,25.9,15.2,Late
Al Hamra Link,4.17,Thursday,17.1,High,Cloudy,Career Fair,28.3,25.1,Late
Campus Loop,2.15,Saturday,7.5,Medium,Clear,None,35.7,6.4,Late
RAK City Express,9.73,Monday,10.9,Medium,Clear,None,26.1,7.4,Late
Al Hamra Link,9.09,Tuesday,16.9,Medium,Clear,None,37.1,7.5,Late
Al Hamra Link,4.21,Saturday,17.0,High,Cloudy,None,24.6,12.1,Late
RAK City Express,10.94,Sunday,17.8,High,Clear,None,26.4,14.8,Late
Grove Village Route,2.9,Friday,15.5,Medium,Clear,None,36.3,7.0,Late
RAK City Express,12.39,Thursday,10.5,Medium,Rainy,University Exam,38.4,25.9,Late
RAK City Express,14.34,Saturday,14.8,Low,Clear,Career Fair,35.1,12.3,Late
Grove Village Route,6.75,Thursday,9.9,High,Clear,None,33.2,17.9,Late
Grove Village Route,5.32,Tuesday,20.2,Low,Clear,None,28.4,2.4,On-Time
Al Hamra Link,9.62,Tuesday,7.4,Low,Cloudy,University Exam,38.0,15.9,Late
Campus Loop,1.15,Saturday,7.5,Low,Clear,None,32.7,0.3,On-Time
RAK City Express,13.2,Monday,18.9,High,Clear,None,31.4,15.9,Late
Grove Village Route,5.73,Friday,18.3,High,Clear,None,37.8,11.9,Late
Grove Village Route,3.08,Friday,7.6,Medium,Cloudy,Sports Match,36.0,14.1,Late
Campus Loop,2.13,Wednesday,8.3,Medium,Clear,None,24.7,6.5,Late
Al Hamra Link,7.81,Wednesday,8.6,High,Clear,None,25.9,12.9,Late
Campus Loop,2.03,Tuesday,15.2,Medium,Clear,None,25.0,4.7,On-Time
Campus Loop,0.51,Sunday,19.9,Medium,Rainy,Sports Match,33.9,18.2,Late
RAK City Express,11.08,Tuesday,8.8,High,Clear,None,34.8,18.2,Late
Grove Village Route,6.95,Wednesday,19.1,Low,Clear,None,40.4,5.3,Late
RAK City Express,9.5,Thursday,12.3,Medium,Cloudy,None,41.7,6.4,Late
RAK City Express,8.77,Friday,18.6,High,Cloudy,None,41.2,18.6,Late
RAK City Express,11.98,Friday,11.1,Medium,Clear,University Exam,31.1,15.7,Late
Al Hamra Link,4.91,Saturday,12.3,High,Clear,None,30.2,12.7,Late
Al Hamra Link,7.88,Thursday,8.1,High,Clear,None,25.4,10.4,Late
Grove Village Route,4.86,Sunday,10.3,Medium,Cloudy,None,29.4,7.0,Late
RAK City Express,8.8,Saturday,10.4,Medium,Clear,None,37.6,7.4,Late
Grove Village Route,5.96,Sunday,12.9,Medium,Clear,None,33.7,6.1,Late
Grove Village Route,3.87,Tuesday,19.7,Medium,Clear,None,38.6,3.6,On-Time
Al Hamra Link,5.12,Thursday,21.9,Low,Clear,University Exam,26.5,9.9,Late
Grove Village Route,2.71,Monday,16.1,Medium,Clear,None,30.7,6.3,Late
Grove Village Route,5.09,Friday,21.3,Low,Clear,None,37.6,3.0,On-Time
Grove Village Route,4.33,Thursday,18.1,High,Cloudy,None,38.5,10.7,Late
Al Hamra Link,8.56,Tuesday,16.7,Medium,Cloudy,None,34.0,6.3,Late
RAK City Express,5.13,Thursday,16.5,Medium,Cloudy,None,25.8,4.6,On-Time
RAK City Express,5.3,Sunday,12.0,Medium,Clear,None,32.4,6.8,Late
Campus Loop,1.9,Friday,8.2,High,Clear,None,24.8,13.4,Late
Al Hamra Link,9.36,Friday,8.0,High,Clear,None,35.1,19.1,Late
Grove Village Route,5.44,Sunday,18.1,High,Cloudy,Career Fair,30.7,18.8,Late
Grove Village Route,5.75,Tuesday,20.4,Medium,Clear,None,24.9,9.3,Late
RAK City Express,14.55,Tuesday,13.3,Medium,Dusty,None,25.7,15.7,Late
RAK City Express,9.39,Sunday,20.5,Low,Clear,None,31.4,2.8,On-Time
RAK City Express,11.79,Friday,9.4,Medium,Rainy,None,33.6,17.5,Late
RAK City Express,14.28,Tuesday,13.3,High,Dusty,None,24.4,23.0,Late
Grove Village Route,6.61,Saturday,10.0,Medium,Clear,None,25.1,10.2,Late
Campus Loop,3.76,Tuesday,18.1,High,Clear,None,30.5,13.6,Late
Al Hamra Link,9.17,Wednesday,15.8,Low,Cloudy,None,34.2,3.7,On-Time
Grove Village Route,5.79,Wednesday,22.0,Medium,Dusty,None,41.7,13.4,Late
Campus Loop,1.43,Monday,8.2,Medium,Clear,None,37.4,9.0,Late
Al Hamra Link,8.01,Thursday,16.6,Medium,Cloudy,None,40.9,6.6,Late
Grove Village Route,3.3,Tuesday,19.8,Low,Clear,None,37.2,3.4,On-Time
RAK City Express,7.01,Friday,8.9,High,Foggy,None,35.5,22.8,Late
Campus Loop,3.62,Monday,8.7,High,Dusty,Open Day,36.9,19.4,Late
Grove Village Route,5.2,Thursday,19.4,Medium,Clear,Sports Match,27.9,11.4,Late
Grove Village Route,5.96,Friday,13.1,Medium,Rainy,None,25.0,18.1,Late
Al Hamra Link,4.47,Tuesday,16.3,Medium,Dusty,University Exam,29.8,20.9,Late
Al Hamra Link,7.74,Saturday,19.2,Medium,Clear,None,35.0,9.7,Late
